# Pathway	W10	W100	W105	W111	W113	W117	W12	W123	W128	W139	W149	W154	W157	W16	W164	W169	W173	W183	W189	W193	W196	W209	W21	W215	W226	W231	W234	W250	W26	W28	W32	W38	W4	W43	W48	W53	W64	W69	W74	W79	W85	W89	W91
PWY-5097: L-lysine biosynthesis VI|g__Methanosaeta.s__Methanosaeta_concilii	4.6550720890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|g__Methanosarcina.s__Methanosarcina_barkeri	0	4.6304895766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|g__Microcoleus.s__Microcoleus_vaginatus	0	2.0926623020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4804495594	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|g__Microcystis.s__Microcystis_aeruginosa	1.1100930468	0	0	0	0	0	5.7068310489	0	0	0	0	0	4.2406207587	7.1878742499	4.1500296000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|g__Niastella.s__Niastella_koreensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6940170999
PWY-5097: L-lysine biosynthesis VI|g__Nostoc.s__Nostoc_punctiforme	0	0	2.7815011721	0	0	0	0	0	0	0	0	0	0	3.5388686041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|g__Oscillatoria.s__Oscillatoria_acuminata	0	9.8558197169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1089704745	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|g__Oscillatoria.s__Oscillatoria_nigro_viridis	0	2.2073787070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1708248471	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|g__Peptostreptococcaceae_noname.s__Clostridium_bifermentans	0	0	0	0	0	0	0	0	0	0	0	5.3655057241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|g__Polaromonas.s__Polaromonas_naphthalenivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.5948761299	11.9655401806	0	0	0	0	4.7578453683	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|g__Pseudomonas.s__Pseudomonas_putida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4057363601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|g__Rhodopseudomonas.s__Rhodopseudomonas_palustris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7089749293	3.5047507870	0	0	0	0	0	5.4304725006	0	0	0	0	0	0	0	0	0	0	0	4.0034179796
PWY-5097: L-lysine biosynthesis VI|g__Stenotrophomonas.s__Stenotrophomonas_maltophilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8077395880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|g__Sulfuricella.s__Sulfuricella_denitrificans	0	0	0	0	0	0	0	0	0	1.4670131612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5345951628	0	0	0	0	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|g__Sulfurovum.s__Sulfurovum_sp_AR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8092391053	0	24.0416222322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|g__Thiocapsa.s__Thiocapsa_marina	0	0	0	0	0	0	0	7.8532871387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.4581614988	0	0	0	0	0
PWY-5097: L-lysine biosynthesis VI|unclassified	4057.4215853229	8203.4082604650	3889.5846500999	3221.2535124922	6964.8592461422	2879.5492491915	3927.0584122859	3750.1568106655	4062.3591641942	3111.0320825904	3871.5288287803	2822.9965448308	3977.3305945873	3284.9784640991	3767.6788105276	5011.0126226042	5004.0443723458	4299.5977655199	4553.1503525706	2979.2591788146	3988.9384159665	8592.8277756174	3126.9611709805	3004.3704373808	3567.3708889142	2695.8052851749	2754.2379388905	2414.1235494318	3413.4463525035	4297.1897672414	4637.7096667551	7284.8940852270	3438.9748372851	3231.7732687733	4547.0240684275	2471.8083676892	4826.4851324536	4208.0578889197	5402.2133650954	2613.5696559800	3717.1070934102	2207.1327215026	3141.7889700677
PWY-5098: chlorophyll a degradation I	0	0	0	0	0	0	0	0	0.4039264646	0	0	0	0	0	0.2498246671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5098: chlorophyll a degradation I|unclassified	0	0	0	0	0	0	0	0	0.4039264646	0	0	0	0	0	0.2498246671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5100: pyruvate fermentation to acetate and lactate II	2137.1016471709	3014.6010959685	1467.7187524292	1271.3157661009	3433.3558183282	1325.5541774243	1948.0786444197	2067.9541290825	1720.4101231242	1671.2117619161	1662.0606563942	1662.9212396244	2427.1076159321	1646.9893954095	1960.0152250812	2539.2596333126	2479.9128017305	2009.8836788521	2290.0573801271	1428.0599611113	2044.8107172210	4515.5760014568	1433.1010279898	1637.2647635412	1772.7270305792	1447.9033807462	1608.9387492584	1036.9275005379	1498.6463204290	1516.7492253429	2549.0541518882	4231.3733368368	2027.0163845581	1581.6226552765	2294.0625552141	1961.6515696492	1708.5892186998	2760.5436510795	2123.5651579821	922.5039513315	1493.9617856634	1284.6995644074	1188.7316178614
PWY-5100: pyruvate fermentation to acetate and lactate II|g__Achromobacter.s__Achromobacter_xylosoxidans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0576736891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5100: pyruvate fermentation to acetate and lactate II|g__Albidiferax.s__Albidiferax_ferrireducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5574863506	7.6700713298	0	0	0.8041510063	0	0	0	0	0	0	0	0
PWY-5100: pyruvate fermentation to acetate and lactate II|g__Bacillus.s__Bacillus_cereus_thuringiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6895459345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5100: pyruvate fermentation to acetate and lactate II|g__Bacillus.s__Bacillus_megaterium	0	0	0.7892659826	0	0	0	2.4215824361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9014084507	0	0
PWY-5100: pyruvate fermentation to acetate and lactate II|g__Clostridium.s__Clostridium_saccharobutylicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4539086887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5100: pyruvate fermentation to acetate and lactate II|g__Desulfomonile.s__Desulfomonile_tiedjei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7538731365	0	0	0	0	0	0	0	0
PWY-5100: pyruvate fermentation to acetate and lactate II|g__Desulfovibrio.s__Desulfovibrio_africanus	0	0	0	0	0	0	0	0	9.5702089414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5100: pyruvate fermentation to acetate and lactate II|g__Exiguobacterium.s__Exiguobacterium_antarcticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3524484299	0	0	0	0
PWY-5100: pyruvate fermentation to acetate and lactate II|g__Exiguobacterium.s__Exiguobacterium_sp_MH3	0	0	0	0	0	0	36.9857883821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5100: pyruvate fermentation to acetate and lactate II|g__Lactococcus.s__Lactococcus_lactis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2570621656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5100: pyruvate fermentation to acetate and lactate II|g__Methanosarcina.s__Methanosarcina_barkeri	0	6.8144366055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5100: pyruvate fermentation to acetate and lactate II|unclassified	2088.2945523809	2986.4834410760	1459.7318506314	1271.3157661009	3392.0824332437	1324.7574503227	1887.7287372455	2063.6733701778	1713.1414884256	1665.4473498906	1658.4463230447	1661.8374099268	2422.9253128759	1645.6391490122	1947.0654227853	2509.0030173554	2465.5722069903	2009.4716997650	2276.6265679551	1426.7376596625	2042.9021755631	4513.7248173857	1429.0322000795	1632.8042528244	1768.1968063686	1447.8329421165	1601.1485005827	1031.7858985418	1498.6463204290	1511.7906594384	2527.8758671418	4213.8165025119	2027.0163845581	1581.2658125540	2290.7969866981	1958.6902325720	1705.8823400218	2749.4291440222	2070.7984225263	921.3529317793	1489.9362951051	1282.0462918330	1186.6373252373
PWY-5101: L-isoleucine biosynthesis II	711.7316935438	1608.8399571277	842.6785090397	751.5157441218	2551.3150233978	605.4889191330	847.3634892343	950.8532906738	888.7916694441	1376.1235815346	1112.4982607963	700.9820133176	1353.2487683771	740.5663393431	588.5854857489	859.7482077534	1968.3362617812	1344.0657450997	1285.4429574169	748.8372236549	1307.6092431248	1974.4423726645	713.1988350711	844.7742368659	1095.7134045992	669.8000618318	449.4828959995	398.6335112343	808.7343003938	590.4229146510	1095.8364994793	2440.3771334811	993.9385228092	747.0840500810	940.9766645650	680.7303192676	1085.3570082533	947.5153775845	897.0826395902	462.5986192247	808.1552605221	456.1904939003	577.2860362582
PWY-5101: L-isoleucine biosynthesis II|g__Desulfotignum.s__Desulfotignum_phosphitoxidans	0	0	0	0	0	0	0	5.8900553759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5101: L-isoleucine biosynthesis II|g__Methanocorpusculum.s__Methanocorpusculum_labreanum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1234902106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5101: L-isoleucine biosynthesis II|g__Methanosaeta.s__Methanosaeta_concilii	4.3185123670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5101: L-isoleucine biosynthesis II|g__Methanosarcina.s__Methanosarcina_acetivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4839179115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5101: L-isoleucine biosynthesis II|g__Methanosarcina.s__Methanosarcina_barkeri	0	7.7330606722	0	0	2.3331742371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5101: L-isoleucine biosynthesis II|g__Nodularia.s__Nodularia_spumigena	0	0	0	0	0	0	0	2.1641898716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5101: L-isoleucine biosynthesis II|g__Oscillatoria.s__Oscillatoria_nigro_viridis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.7081095179	0	0	0	0
PWY-5101: L-isoleucine biosynthesis II|g__Streptomyces.s__Streptomyces_chartreusis	0	0	4.7232886548	0	2.0366746361	0	1.1220186707	0	0	0	0	0	0	0	1.3850327435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5201934108	0	0
PWY-5101: L-isoleucine biosynthesis II|g__Thiocapsa.s__Thiocapsa_marina	0	0	0	0	0	0	0	13.3258780506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.7746233249	0	0	0	0	0
PWY-5101: L-isoleucine biosynthesis II|unclassified	699.6470272730	1590.9021398672	832.9579961124	751.5089411757	2534.6486316012	604.9857032043	844.8279094307	925.0650583249	888.0245442961	1372.0145754747	1112.2861593556	700.7994768205	1351.0096013949	739.3020815823	581.7886758402	856.4480485133	1954.3974134659	1343.1241735648	1257.4879917860	748.6943798196	1300.5897710808	1973.6663204872	709.9915492417	843.7533454515	1094.5396458507	669.7902152468	449.1274073583	398.3755003057	808.7093780270	589.9312379231	1090.8360340455	2433.8307595239	993.2670730399	746.6318666941	940.2089987285	679.7855406309	1084.1276323748	899.5268635737	864.9434558588	460.7559415272	797.0538205591	455.8896014087	576.4475770026
PWY-5103: L-isoleucine biosynthesis III	4789.8789930191	10078.6893652701	5385.7355300687	4623.3228889361	10749.0548420794	4250.6483982955	5192.1468582381	5475.9597079540	5648.3453271961	4063.0235996602	5737.2638934133	4242.9015858286	5123.4176607188	4027.4698779576	4928.5586401610	6035.5497710472	6676.0427313839	5712.5381415260	5857.6101007368	4223.9099440965	5441.1720446170	11489.2376539114	4452.1124029637	4348.4823742396	4923.7062202333	3832.3860373356	3689.9279166524	3348.2176844916	4939.6791251974	5118.9764925733	5685.8324110092	9318.9404786015	4388.8754001157	4149.2141262912	5732.3439829781	3601.3223384331	6616.7052812698	5160.9756715551	6586.1714619505	3525.7272600850	5363.6947957012	3031.4100184356	4441.3018170813
PWY-5103: L-isoleucine biosynthesis III|g__Achromobacter.s__Achromobacter_xylosoxidans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1271407523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Acidovorax.s__Acidovorax_ebreus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24.7415248259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Albidiferax.s__Albidiferax_ferrireducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.9046915893	13.5775262546	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Bradyrhizobium.s__Bradyrhizobium_japonicum	0	0	0	0	0	0	22.1985835929	0	0	0	0	0	0	28.1093850744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.7263047595	38.8052916001	0	39.5017953766
PWY-5103: L-isoleucine biosynthesis III|g__Candidatus_Solibacter.s__Candidatus_Solibacter_usitatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8784830621	0
PWY-5103: L-isoleucine biosynthesis III|g__Cetobacterium.s__Cetobacterium_somerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9540164091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Clostridium.s__Clostridium_beijerinckii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.9632447951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Clostridium.s__Clostridium_carboxidivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9923347173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Clostridium.s__Clostridium_saccharobutylicum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5491906790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Clostridium.s__Clostridium_saccharoperbutylacetonicum	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5618806507	3.3000892992	1.2740274972	28.6271411957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Dechloromonas.s__Dechloromonas_aromatica	2.9149663249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Desulfobacter.s__Desulfobacter_postgatei	1.7031906438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Desulfomonile.s__Desulfomonile_tiedjei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8205268554	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Geobacter.s__Geobacter_lovleyi	1.6865492079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Geobacter.s__Geobacter_uraniireducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0405139987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Geodermatophilus.s__Geodermatophilus_obscurus	0	0	46.4768642559	0	51.3364690258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Gillisia.s__Gillisia_limnaea	0	0.9174782339	0	0	0	36.2204120537	0	0	11.4131248668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.4060615721	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Halomonas.s__Halomonas_titanicae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6207046601	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Hyphomicrobium.s__Hyphomicrobium_denitrificans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2369942197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Intrasporangium.s__Intrasporangium_calvum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7229109869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Janthinobacterium.s__Janthinobacterium_lividum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2901719146	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Labrenzia.s__Labrenzia_aggregata	0	0	0	0	0	0	0	0	0	0	0	3.3039520599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Marinobacter.s__Marinobacter_adhaerens	0	0	0	0	0	0	0	0	0	0	0	2.8018710597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Methanocorpusculum.s__Methanocorpusculum_labreanum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0671843275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Methanosaeta.s__Methanosaeta_concilii	4.7621912779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Methanosarcina.s__Methanosarcina_acetivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4510150048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Methanosarcina.s__Methanosarcina_barkeri	0	4.2455390770	0	0	2.5505552386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Micromonospora.s__Micromonospora_lupini	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.3031295391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Niastella.s__Niastella_koreensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7372686153
PWY-5103: L-isoleucine biosynthesis III|g__Nitrospira.s__Candidatus_Nitrospira_defluvii	0.9957514604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4316090451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Nocardioidaceae_noname.s__Nocardioidaceae_bacterium_Broad_1	0	0	0	0	0	0	2.4126476408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Nodularia.s__Nodularia_spumigena	0	0	0	0	0	0	0	2.2326412146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Peptostreptococcaceae_noname.s__Clostridium_sticklandii	0.9560026434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Polaromonas.s__Polaromonas_naphthalenivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125.1249942516	37.7670647420	0	0	0	0	24.3873395650	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Pseudomonas.s__Pseudomonas_putida	2.0975322824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.3308755782	0	0	0	0	0	0	0	0	0	0	0	2.3000937899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Pseudomonas.s__Pseudomonas_stutzeri	0	3.9439679738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6074237434	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Psychrobacter.s__Psychrobacter_arcticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1617798113	0	2.6073141426	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Psychrobacter.s__Psychrobacter_cryohalolentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.9806275684	0	1.3594275500	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Rhizobium.s__Rhizobium_leguminosarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9314607357	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Rhodopseudomonas.s__Rhodopseudomonas_palustris	6.0356259649	0	9.1650060985	0	21.0630194912	0	12.2754266416	0	11.5091385445	15.2647702225	2.3950980061	0	4.4782960183	10.4491419930	12.1739178578	17.8056243369	81.6232877768	0	0	0	0	44.1939310669	18.1030028551	52.2494558812	41.7731848247	0	35.7012584493	0	0	0	23.7701477689	14.7121257201	0	10.6464051793	13.8868663913	0	22.8310078928	0	18.6187928704	11.4712391577	17.8232850750	17.2922298881	28.6317794993
PWY-5103: L-isoleucine biosynthesis III|g__Sorangium.s__Sorangium_cellulosum	0	0	0	0	8.6933142726	0	0	0	1.0136544073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2921397969	1.6427143467	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Stenotrophomonas.s__Stenotrophomonas_maltophilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5103883950	13.3739618941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5103: L-isoleucine biosynthesis III|g__Streptomyces.s__Streptomyces_chartreusis	0	0	5.5499575658	0	2.0432218711	0	1.8540809851	0	0	0	0	0	0	0	1.3620181782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0432640376	0	0
